Date,Open,High,Low,Close,Volume,Adj Close
2016-09-08,5.21,5.21,5.19,5.21,270500,5.088129
2016-09-09,5.16,5.17,5.09,5.09,619900,4.970936
2016-09-12,5.09,5.15,5.05,5.12,861100,5.000234
2016-09-13,5.08,5.1,5.03,5.06,739000,4.941637999999999
2016-09-14,5.06,5.1,5.02,5.06,451200,4.941637999999999
2016-09-15,5.03,5.1,5.03,5.08,507700,4.96117
2016-09-16,5.08,5.1,5.03,5.08,579800,4.96117
2016-09-19,5.1,5.11,5.05,5.07,513600,4.951404
2016-09-20,5.1,5.11,5.07,5.1,608700,4.980702
2016-09-21,5.14,5.16,5.11,5.16,797600,5.0392980000000005
2016-09-22,5.2,5.2,5.18,5.19,510600,5.0685970000000005
2016-09-23,5.19,5.19,5.15,5.15,791600,5.029532
2016-09-26,5.14,5.14,5.09,5.11,452300,4.990468
2016-09-27,5.11,5.14,5.09,5.14,317200,5.019766000000001
2016-09-28,5.14,5.17,5.14,5.17,352200,5.049065000000001
